Species,Guild
BANK SWALLOW,Aerialists
BARN SWALLOW,Aerialists
CHIMNEY SWIFT,Aerialists
CLIFF SWALLOW,Aerialists
COMMON NIGHTHAWK,Aerialists
EASTERN WHIP-POOR-WILL,Aerialists
NORTHERN ROUGH-WINGED SWALLOW,Aerialists
PURPLE MARTIN,Aerialists
RUBY-THROATED HUMMINGBIRD,Aerialists
SWALLOW SP.,Aerialists
TREE SWALLOW,Aerialists
BALTIMORE ORIOLE,Blackbirds
BROWN-HEADED COWBIRD,Blackbirds
BLACKBIRD SP.,Blackbirds
BOBOLINK,Blackbirds
COMMON GRACKLE,Blackbirds
EUROPEAN STARLING,Blackbirds
ORCHARD ORIOLE,Blackbirds
RUSTY BLACKBIRD,Blackbirds
RED-WINGED BLACKBIRD,Blackbirds
MOURNING DOVE,Columbids
ROCK PIGEON,Columbids
AMERICAN CROW,Corvids
BLUE JAY,Corvids
COMMON RAVEN,Corvids
GRAY JAY,Corvids
AMERICAN ROBIN,Forest Birds
BLACK-BILLED CUCKOO,Forest Birds
BELTED KINGFISHER,Forest Birds
BOHEMIAN WAXWING,Forest Birds
BROWN THRASHER,Forest Birds
CEDAR WAXWING,Forest Birds
DOWNY WOODPECKER,Forest Birds
EASTERN BLUEBIRD,Forest Birds
GRAY-CHEEKED THRUSH,Forest Birds
GRAY CATBIRD,Forest Birds
HAIRY WOODPECKER,Forest Birds
HERMIT THRUSH,Forest Birds
NORTHERN FLICKER,Forest Birds
NORTHERN MOCKINGBIRD,Forest Birds
PILEATED WOODPECKER,Forest Birds
RED-BELLIED WOODPECKER,Forest Birds
RED-HEADED WOODPECKER,Forest Birds
SWAINSON'S THRUSH,Forest Birds
VEERY,Forest Birds
WOOD THRUSH,Forest Birds
YELLOW-BILLED CUCKOO,Forest Birds
YELLOW-BELLIED SAPSUCKER,Forest Birds
AMERICAN PIPIT,Grassland Birds
AMERICAN TREE SPARROW,Grassland Birds
CLAY-COLORED SPARROW,Grassland Birds
CHIPPING SPARROW,Grassland Birds
DARK-EYED JUNCO,Grassland Birds
EASTERN MEADOWLARK,Grassland Birds
EASTERN TOWHEE,Grassland Birds
FIELD SPARROW,Grassland Birds
GRASSHOPPER SPARROW,Grassland Birds
HENSLOW'S SPARROW,Grassland Birds
HORNED LARK,Grassland Birds
LAPLAND LONGSPUR,Grassland Birds
LE CONTE'S SPARROW,Grassland Birds
LINCOLN'S SPARROW,Grassland Birds
LOGGERHEAD SHRIKE,Grassland Birds
NORTHERN SHRIKE,Grassland Birds
SAVANNAH SPARROW,Grassland Birds
SNOW BUNTING,Grassland Birds
SONG SPARROW,Grassland Birds
SPARROW SP.,Grassland Birds
SWAMP SPARROW,Grassland Birds
VESPER SPARROW,Grassland Birds
WHITE-CROWNED SPARROW,Grassland Birds
WHITE-THROATED SPARROW,Grassland Birds
BLACK TERN,Gulls/Terns
BONAPARTE'S GULL,Gulls/Terns
CASPIAN TERN,Gulls/Terns
COMMON TERN,Gulls/Terns
GREAT BLACK-BACKED GULL,Gulls/Terns
GULL SP.,Gulls/Terns
HERRING GULL,Gulls/Terns
LESSER BLACK-BACKED GULL,Gulls/Terns
RING-BILLED GULL,Gulls/Terns
SNAKE SP.,Herptides
TURTLE SP.,Herptides
AMERICAN BEAVER,Mammals
MINK,Mammals
MUSKRAT,Mammals
COYOTE,Mammals
FERAL/FREE RANGING CAT,Mammals
FREE-RANGING FERAL DOG,Mammals
EASTERN CHIPMUNK,Mammals
EASTERN COTTONTAIL RABBIT,Mammals
EASTERN FOX SQUIRREL,Mammals
EASTERN GRAY SQUIRREL,Mammals
MEADOW VOLE,Mammals
RACCOON,Mammals
NORTH AMERICAN RIVER OTTER,Mammals
RED FOX,Mammals
RED SQUIRREL,Mammals
STRIPED SKUNK,Mammals
VIRGINIA OPOSSUM,Mammals
WHITE-TAILED DEER,Mammals
WOODCHUCK,Mammals
BIG BROWN BAT,Mammals/Bats
EASTERN (TRI-COLORED) PIPISTRELLE,Mammals/Bats
EASTERN RED BAT,Mammals/Bats
EVENING BAT,Mammals/Bats
HOARY BAT,Mammals/Bats
NORTHERN LONG-EARED BAT,Mammals/Bats
SILVER-HAIRED BAT,Mammals/Bats
Bat Sp.,Mammals/Bats
LITTLE BROWN BAT,Mammals/Bats
AMERICAN KESTREL,Raptors
BARRED OWL,Raptors
BALD EAGLE,Raptors
BARN OWL,Raptors
BROAD-WINGED HAWK,Raptors
COOPER'S HAWK,Raptors
EASTERN SCREECH OWL,Raptors
FALCON SP.,Raptors
GREAT GRAY OWL,Raptors
GREAT HORNED OWL,Raptors
GOLDEN EAGLE,Raptors
HAWK SP.,Raptors
LONG-EARED OWL,Raptors
MERLIN,Raptors
NORTHERN GOSHAWK,Raptors
NORTHERN HARRIER,Raptors
NORTHERN SAW-WHET OWL,Raptors
OSPREY,Raptors
PEREGRINE FALCON,Raptors
RAPTOR SP.,Raptors
ROUGH-LEGGED HAWK,Raptors
RED-SHOULDERED HAWK,Raptors
RED-TAILED HAWK,Raptors
SHORT-EARED OWL,Raptors
SNOWY OWL,Raptors
SHARP-SHINNED HAWK,Raptors
TURKEY VULTURE,Raptors
AMERICAN AVOCET,Shorebirds
AMERICAN GOLDEN-PLOVER,Shorebirds
AMERICAN WOODCOCK,Shorebirds
BLACK-BELLIED PLOVER,Shorebirds
BLACK-NECKED STILT,Shorebirds
DUNLIN,Shorebirds
GREATER YELLOWLEGS,Shorebirds
KILLDEER,Shorebirds
LONG-BILLED DOWITCHER,Shorebirds
LEAST SANDPIPER,Shorebirds
LESSER YELLOWLEGS,Shorebirds
PECTORAL SANDPIPER,Shorebirds
PIPING PLOVER,Shorebirds
PURPLE SANDPIPER,Shorebirds
RUDDY TURNSTONE,Shorebirds
SANDERLING,Shorebirds
SHORT-BILLED DOWITCHER,Shorebirds
SEMIPALMATED PLOVER,Shorebirds
SEMIPALMATED SANDPIPER,Shorebirds
SHOREBIRD SP.,Shorebirds
SOLITARY SANDPIPER,Shorebirds
SPOTTED SANDPIPER,Shorebirds
UPLAND SANDPIPER,Shorebirds
WHIMBREL,Shorebirds
WILSON'S PHALAROPE,Shorebirds
WILSON'S SNIPE,Shorebirds
WHITE-RUMPED SANDPIPER,Shorebirds
ACADIAN FLYCATCHER,Small Songbirds
ALDER FLYCATCHER,Small Songbirds
AMERICAN GOLDFINCH,Small Songbirds
AMERICAN REDSTART,Small Songbirds
BLACK-AND-WHITE WARBLER,Small Songbirds
BAY-BREASTED WARBLER,Small Songbirds
BLACK-CAPPED CHICKADEE,Small Songbirds
BLUE-HEADED VIREO,Small Songbirds
BLACKBURNIAN WARBLER,Small Songbirds
BLUE GROSBEAK,Small Songbirds
BLACKPOLL WARBLER,Small Songbirds
BLUE-GRAY GNATCATCHER,Small Songbirds
BROWN CREEPER,Small Songbirds
BLACK-THROATED BLUE WARBLER,Small Songbirds
BLACK-THROATED GREEN WARBLER,Small Songbirds
BLUE-WINGED WARBLER,Small Songbirds
CAROLINA WREN,Small Songbirds
CANADA WARBLER,Small Songbirds
CERULEAN WARBLER,Small Songbirds
CAPE MAY WARBLER,Small Songbirds
CONNECTICUT WARBLER,Small Songbirds
COMMON REDPOLL,Small Songbirds
COMMON YELLOWTHROAT,Small Songbirds
CHESTNUT-SIDED WARBLER,Small Songbirds
DICKCISSEL,Small Songbirds
EASTERN KINGBIRD,Small Songbirds
EASTERN PHOEBE,Small Songbirds
EASTERN WOOD-PEWEE,Small Songbirds
EVENING GROSBEAK,Small Songbirds
FLYCATCHER SP.,Small Songbirds
FOX SPARROW,Small Songbirds
GREAT CRESTED FLYCATCHER,Small Songbirds
GOLDEN-CROWNED KINGLET,Small Songbirds
GOLDEN-WINGED WARBLER,Small Songbirds
HOUSE FINCH,Small Songbirds
HOUSE SPARROW,Small Songbirds
HOODED WARBLER,Small Songbirds
HOUSE WREN,Small Songbirds
INDIGO BUNTING,Small Songbirds
KIRTLAND'S WARBLER,Small Songbirds
LEAST FLYCATCHER,Small Songbirds
LOUISIANA WATERTHRUSH,Small Songbirds
MAGNOLIA WARBLER,Small Songbirds
MARSH WREN,Small Songbirds
MOURNING WARBLER,Small Songbirds
NASHVILLE WARBLER,Small Songbirds
NORTHERN CARDINAL,Small Songbirds
NORTHERN PARULA,Small Songbirds
NORTHERN WATERTHRUSH,Small Songbirds
ORANGE-CROWNED WARBLER,Small Songbirds
OLIVE-SIDED FLYCATCHER,Small Songbirds
OVENBIRD,Small Songbirds
PALM WARBLER,Small Songbirds
PHILADELPHIA VIREO,Small Songbirds
PINE GROSBEAK,Small Songbirds
PINE SISKIN,Small Songbirds
PINE WARBLER,Small Songbirds
PRAIRIE WARBLER,Small Songbirds
PROTHONOTARY WARBLER,Small Songbirds
PURPLE FINCH,Small Songbirds
ROSE-BREASTED GROSBEAK,Small Songbirds
RED-BREASTED NUTHATCH,Small Songbirds
RUBY-CROWNED KINGLET,Small Songbirds
RED CROSSBILL,Small Songbirds
RED-EYED VIREO,Small Songbirds
SCARLET TANAGER,Small Songbirds
SEDGE WREN,Small Songbirds
SUMMER TANAGER,Small Songbirds
TENNESSEE WARBLER,Small Songbirds
TUFTED TITMOUSE,Small Songbirds
WARBLING VIREO,Small Songbirds
WHITE-BREASTED NUTHATCH,Small Songbirds
WILLOW FLYCATCHER,Small Songbirds
WINTER WREN,Small Songbirds
WHITE-WINGED CROSSBILL,Small Songbirds
YELLOW-BREASTED CHAT,Small Songbirds
YELLOW WARBLER,Small Songbirds
YELLOW-RUMPED WARBLER,Small Songbirds
YELLOW-THROATED VIREO,Small Songbirds
UNKNOWN BIRD,Unknown
UNKNOWN BIRD - LARGE,Unknown
UNKNOWN BIRD - MEDIUM,Unknown
UNKNOWN BIRD - SMALL,Unknown
UNKNOWN BIRD OR BAT,Unknown
UNKNOWN SONG BIRD,Unknown
UNKNOWN TERRESTRIAL MAMMAL,Unknown
NORTHERN BOBWHITE,Upland Birds
RING-NECKED PHEASANT,Upland Birds
RUFFED GROUSE,Upland Birds
WILD TURKEY,Upland Birds
AMERICAN BITTERN,Wading Birds
BLACK-CROWNED NIGHT HERON,Wading Birds
GREAT BLUE HERON,Wading Birds
GREAT EGRET,Wading Birds
GREEN HERON,Wading Birds
LEAST BITTERN,Wading Birds
SANDHILL CRANE,Wading Birds
SNOWY EGRET,Wading Birds
YELLOW-CROWNED NIGHT HERON,Wading Birds
AMERICAN COOT,Waterbirds
AMERICAN WHITE PELICAN,Waterbirds
COMMON LOON,Waterbirds
DOUBLE-CRESTED CORMORANT,Waterbirds
HORNED GREBE,Waterbirds
KING RAIL,Waterbirds
PIED-BILLED GREBE,Waterbirds
SORA,Waterbirds
VIRGINIA RAIL,Waterbirds
YELLOW RAIL,Waterbirds
AMERICAN BLACK DUCK,Waterfowl
AMERICAN WIGEON,Waterfowl
BLACK SCOTER,Waterfowl
BUFFLEHEAD,Waterfowl
BLUE-WINGED TEAL,Waterfowl
CACKLING GOOSE,Waterfowl
CANADA GOOSE,Waterfowl
CANVASBACK,Waterfowl
COMMON GOLDENEYE,Waterfowl
COMMON MERGANSER,Waterfowl
DUCK SP.,Waterfowl
GADWALL,Waterfowl
GREATER SCAUP,Waterfowl
GREEN-WINGED TEAL,Waterfowl
HOODED MERGANSER,Waterfowl
LESSER SCAUP,Waterfowl
LONG-TAILED DUCK,Waterfowl
MALLARD,Waterfowl
MUTE SWAN,Waterfowl
NORTHERN PINTAIL,Waterfowl
NORTHERN SHOVELER,Waterfowl
RED-BREASTED MERGANSER,Waterfowl
REDHEAD,Waterfowl
RING-NECKED DUCK,Waterfowl
RUDDY DUCK,Waterfowl
SCAUP SP.,Waterfowl
SNOW GOOSE,Waterfowl
SURF SCOTER,Waterfowl
TRUMPETER SWAN,Waterfowl
WATERFOWL SP.,Waterfowl
WOOD DUCK,Waterfowl
WHITE-WINGED SCOTER,Waterfowl
